1;20/05/2024;;;;DEBITO TED;;;;;5796,62
2;20/05/2024;;;;CREDITO TED;;;;5796,62;
3;20/05/2024;;;;PG.FICHA COMP.I.BANK;;;;;1113,53
4;20/05/2024;;;;PG.FICHA COMP.I.BANK;;;;;2227,08
5;20/05/2024;;;;PIX - PAGAMENTO;;;;;6108,70
6;20/05/2024;;;;PIX - PAGAMENTO;;;;;142,20
7;20/05/2024;;;;PIX - RECEBIMENTO;;;;73735,03;
8;21/05/2024;;;;RESG.ANTECIP.DP;;;;43006,54;
9;21/05/2024;;;;RESG.ANTECIP.DP;;;;10000,00;
10;21/05/2024;;;;DEBITO TED;;;;;20000,00
11;21/05/2024;;;;DEBITO TED;;;;;60000,00
12;21/05/2024;;;;PG.FICHA COMP.I.BANK;;;;;74073,25
13;22/05/2024;;;;PG.FICHA COMP.I.BANK;;;;;837,00
14;22/05/2024;;;;PIX - PAGAMENTO;;;;;2300,00
15;22/05/2024;;;;PIX - PAGAMENTO;;;;;1248,40
16;24/05/2024;;;;PIX - PAGAMENTO;;;;;11500,00
17;24/05/2024;;;;PIX - RECEBIMENTO;;;;140499,30;
